"SSID","Plot ID","Species","SpecCode2","Resprouts?","Seedling","DBH class 1","DBH class 2","DBH class 3","DBH class 4","TotalStems","calc1","calcSpecCode2","calc2","SPP","Notes"
"1H40.ALRU2","1H40","ALRU2","ALRU2",0,6,2,0,0,0,8.00,"1H40.ALRU2","ALRU2",,"ALRU2","0"
"1H40.ALRU2r","1H40","ALRU2","ALRU2r",0,0,0,0,0,0,0.00,"1H40.ALRU2","ALRU2",,"ALRU2",
"1H40.CONF","1H40","CONF","CONF",0,0,0,0,0,0,0.00,"1H40.CONF","CONF",,"CONF",
"1H40.PISI","1H40","PISI","PISI",0,0,0,0,0,0,0.00,"1H40.PISI","PISI",,"PISI",
"1H40.PISIr","1H40","PISI","PISIr",0,0,0,0,0,0,0.00,"1H40.PISI","PISI",,"PISI",
"1H40.PSMEM","1H40","PSMEM","PSMEM",0,0,0,0,0,0,0.00,"1H40.PSMEM","PSMEM",,"PSMEM",
"1H40.SESE3","1H40","SESE3","SESE3",0,0,0,0,0,0,0.00,"1H40.SESE3","SESE3",,"SESE3",
"1H40.SESE3r","1H40","SESE3","SESE3r",1,1,7,1,0,0,9.00,"1H40.SESE3r","SESE3r",,"SESE3","0"
"1H40.TSHE","1H40","TSHE","TSHE",0,0,0,0,0,0,0.00,"1H40.TSHE","TSHE",,"TSHE",
"1H80.ALRU2","1H80","ALRU2","ALRU2",0,0,0,0,0,0,0.00,"1H80.ALRU2","ALRU2",,"ALRU2",
"1H80.ALRU2r","1H80","ALRU2","ALRU2r",0,0,0,0,0,0,0.00,"1H80.ALRU2","ALRU2",,"ALRU2",
"1H80.CONF","1H80","CONF","CONF",0,0,0,0,0,0,0.00,"1H80.CONF","CONF",,"CONF",
"1H80.PISI","1H80","PISI","PISI",0,3,0,0,0,0,3.00,"1H80.PISI","PISI",,"PISI","0"
"1H80.PISIr","1H80","PISI","PISIr",0,0,0,0,0,0,0.00,"1H80.PISI","PISI",,"PISI",
"1H80.PSMEM","1H80","PSMEM","PSMEM",0,0,0,0,0,0,0.00,"1H80.PSMEM","PSMEM",,"PSMEM",
"1H80.SESE3","1H80","SESE3","SESE3",0,4,0,0,0,0,4.00,"1H80.SESE3","SESE3",,"SESE3","0"
"1H80.SESE3r","1H80","SESE3","SESE3r",1,9,0,0,0,0,9.00,"1H80.SESE3r","SESE3r",,"SESE3","branch along ground"
