"ID","Plot_ID","Species","Flag","Flag1","Corrections"
609,"1H40","SESE3",,,
610,"1H40","PSMEM",,,
611,"1H40","ALRU2",,,
612,"1H40","STAJR",,,
613,"1H40","RUSP",,,
614,"1H40","GASH",,,
615,"1H40","RUPA",,,
616,"1H40","POMU",,,
617,"1H40","VAOV2",,,
618,"1H40","GATR3",,,
619,"1H40","VISE3",,,
620,"1H40","CLSI2",,,
621,"1H40","SARA2",,,
622,"1H40","VAPA",,,
623,"1H40","DRAR3",,,
624,"1H40","RUUR",,,
625,"1H40","GOOB2",,,
626,"1H40","PTAQP2",,,
627,"1H40","OXOR",,,
628,"1H40","BLSP",,,
629,"1H40","IRDO",,,
630,"1H40","OSMORHIZA SP.",,,
631,"1H40","GRASS",,,
632,"1H40","RIBES SP.",,,
633,"1H40","RAPA",,,
634,"1H80","SESE3",,,
635,"1H80","PSMEM",,,
636,"1H80","PISI",,,
637,"1H80","TSHE",,,
638,"1H80","ALRU2",,,
639,"1H80","STAJR",,,
640,"1H80","POMU",,,
641,"1H80","RUSP",,,
642,"1H80","WHMO",,,
643,"1H80","GATR3",,,
644,"1H80","DRAR3",,,
645,"1H80","CLSI2",,,
646,"1H80","RHPU",,,
647,"1H80","TRLA6",,,
648,"1H80","GASH",,,
649,"1H80","VAOV2",,,
650,"1H80","VAPA",,,
651,"1H80","IRDO",,,
652,"1H80","OSMORHIZA SP.",,,
653,"1H80","RUPA",,,
654,"1H80","BLSP",,,
655,"1H80","ATFIC ",,,
656,"1H80","GRASS",,,
657,"1H80","PEFRP",,,
658,"1H80","DIHO3",,,
659,"1H80","MADI",,,
660,"1H80","VISE3",,,
661,"1H80","ERMI6",,,
662,"1H80","Lathyrus",,,
663,"1L40","PSMEM",,,
664,"1L40","ALRU2",,,
665,"1L40","SESE3",,,
666,"1L40","RUSP",,,
667,"1L40","POMU",,,
668,"1L40","VISE3",,,
669,"1L40","IRDO",,,
670,"1L40","CLSI2",,,
671,"1L40","GATR3",,,
672,"1L40","TRLA6",,,
673,"1L40","STAJR",,,
674,"1L40","GRASS",,,
675,"1L40","RUPA",,,
676,"1L40","DRAR3",,,
677,"1L40","VAPA",,,
678,"1L40","VAOV2",,,
679,"1L40","GASH",,,
680,"1L40","WHMO",,,
681,"1L40","ATFIC",,,
682,"1L40","BLSP",,,
683,"1L40","RHPU",,,
684,"1L40","RUUR",,,
685,"1L40","RIBES SP.",,,
686,"1L40","SARA2",,,
687,"1L80","SESE3",,,
688,"1L80","PSMEM",,,
689,"1L80","PISI",,,
690,"1L80","RHPA",,,
691,"1L80","SARA2",,,
692,"1L80","POMU",,,
693,"1L80","STAJR",,,
694,"1L80","TROV2",,,
695,"1L80","BLSP",,,
696,"1L80","CLSI2",,,
697,"1L80","RUSP",,,
698,"1L80","IRDO",,,
699,"1L80","VISE3",,,
700,"1L80","GATR3",,,
701,"1L80","GASH",,,
702,"1L80","ATFIC",,,
703,"1L80","DIHO3",,,
704,"1L80","RHPU",,,
705,"1L80","RIBES SP.",,,
706,"1L80","VAPA",,,
707,"1L80","RUPA",,,
708,"2H80","ATFIC",,,
709,"2H80","POMU",,,
710,"2H80","RUPA",,,
711,"2H80","RUSP",,,
712,"2H80","SESE3",,,
713,"2H80","PISI",,,
714,"2H80","PSMEM",,,
715,"2H80","GASH",,,
716,"2H80","CLSI2",,,
717,"2H80","TRLA6",,,
718,"2H80","SARA2",,,
719,"2H80","VAPA",,,
720,"2H80","RHPU",,,
721,"2H80","VAOV2",,,
722,"2H80","RUUR",,,
723,"2H80","DRAR3",,,
724,"2H80","VISE3",,,
725,"2H80","GATR3",,,
726,"2H80","WHMO",,,
727,"2H80","DISM2",,,
728,"2H80","STAJR",,,
729,"2H80","OSMORHIZA SP.",,,
730,"2H40","SESE3",,,
731,"2H40","PSMEM",,,
732,"2H40","ALRU2",,,
733,"2H40","SARA2",,,
734,"2H40","POMU",,,
735,"2H40","ATFIC",,,
736,"2H40","RUSP",,,
737,"2H40","DRAR3",,,
738,"2H40","MAOR3",,,
739,"2H40","RUPA",,,
740,"2H40","BLSP",,,
741,"2H40","CLSI2",,,
742,"2H40","GASH",,,
743,"2L40","SESE3",,,
744,"2L40","PSMEM",,,
745,"2L40","ALRU2",,,
746,"2L40","PISI",,,
747,"2L40","RHPU",,,
748,"2L40","RUSP",,,
749,"2L40","RUPA",,,
750,"2L40","POMU",,,
751,"2L40","IRDO",,,
752,"2L40","VISE3",,,
753,"2L40","WHMO",,,
754,"2L40","SARA2",,,
755,"2L40","ATFIC",,,
756,"2L40","GATR3",,,
757,"2L40","OXOR",,,
758,"2L40","VAOV2",,,
759,"2L40","RIBES SP.",,,
760,"2L40","ANMA1",,,
761,"2L40","ERMI6",,,
762,"2L40","TSHE",,,
763,"2L40","GASH",,,
764,"2L40","GRASS",,,
766,"2L40","Osmorhiza sp.",,,
767,"2L40","VAPA",,,
768,"2L40","ANAPHALIS SP.",,,
769,"2L40","DRAR3",,,
770,"2L80","RIBES SP.",,,
771,"2L80","GATR3",,,
772,"2L80","VISE3",,,
773,"2L80","POMU",,,
774,"2L80","VAOV2",,,
775,"2L80","TRLA6",,,
776,"2L80","VAPA",,,
777,"2L80","BENE2",,,
778,"2L80","ALRU2",,,
779,"2L80","WHMO",,,
780,"2L80","RUPA",,,
781,"2L80","RUSP",,,
782,"2L80","CLSI2",,,
783,"2L80","GASH",,,
784,"2L80","RHPU",,,
785,"2L80","GRASS",,,
786,"2L80","ERMI6",,,
