"TreeID","TreeTag_","DBH","Ht","CR","CC","Status","ConCode A","ConCode B","ConCode C","ConCode D","ConCode E","BearDmg","Notes","Flag"
"1H40.1901",1901,11.00,12.00,0.00,-1,5,"3,7",,,,"31",,"Top blown off, dead standing",
"1H40.1902",1902,15.90,65.00,30.00,2,1,"3,4,7",,,,,,"check tags 1903 and 1904",
"1H40.1905",1905,7.70,44.00,25.00,3,1,"4",,"17",,,"1",,
"1H40.1906",,18.90,90.00,25.00,1,1,,,,,,,"double tree",
"1H40.1907",1907,12.80,70.00,15.00,3,1,"5",,"17",,,"1","close to being on ground",
"1H40.1908",1908,6.50,0.00,0.00,-1,5,,,,,,,"dead, no sprouts",
"1H40.1909",1909,11.80,86.00,30.00,2,1,,,,,,,,
"1H40.1911",1911,12.80,85.00,25.00,1,1,,,,,,,,
"1H40.1916",1916,12.00,65.00,20.00,2,1,,,"19",,,"1",,
"1H40.3003",3003,16.00,85.00,35.00,2,1,,,"22",,,,,
"1H40.3006",3006,13.60,90.00,25.00,3,1,"1,4",,,,,,,
"1H40.3008",3008,12.60,73.00,30.00,2,1,,,"18",,,"1",,
"1H40.3012",3012,8.30,68.00,15.00,2,1,,,,,,,,
"1H40.3013",3013,,0.00,0.00,-1,32,,,,,"32",,"Dead and down, hanging in tree",
"1H40.3014",3014,,0.00,0.00,-1,32,,,,,"32",,"Dead and down, hanging in tree",
"1H40.3015",3015,,0.00,0.00,-1,32,,,,,"32",,"Dead and down, hanging in tree",
"1H40.3016",3016,12.20,81.00,25.00,3,1,,,"22",,,,,
"1H40.3020",3020,10.50,78.00,20.00,1,1,,,"22",,,,,
"1H40.3025",3025,11.10,75.00,20.00,3,1,,,"22",,,,,
"1H40.3026",3026,17.70,93.00,40.00,2,1,"1",,,,,,,
"1H40.3027",3027,16.50,85.00,40.00,2,1,"4",,"22",,,,,
"1H40.3029",3029,18.40,97.00,35.00,3,1,,,"22",,,,"illegible note



illegible note","ILL"
"1H40.3030",3030,6.50,32.00,30.00,4,1,"4",,,,,,,
"1H40.3031",3031,15.10,80.00,25.00,2,1,,,"22",,,,,
"1H40.3032",3032,19.70,89.00,35.00,3,1,,,"17",,,"1","D=19.7, Raked from tree fall (Markings in Con Cds C)","ILL;NOTE"
"1H40.3033",3033,27.70,104.00,40.00,2,1,,,"17","26",,"1","tag and ?","ILL;NOTE;RETAG"
"1H40.4746",,4.40,25.00,30.00,1,1,"1,6,7",,,,,,"ingrowth","NEWT"
"1H40.4747",,4.60,30.00,25.00,4,1,"1,4,6",,,,,,"ingrowth","NEWT"
"1H80.3524",3524,8.50,52.00,30.00,4,1,"1,4",,,,,,,
"1H80.3525",3525,8.80,68.00,20.00,3,1,,,,,,,,
"1H80.3526",3526,24.00,105.00,35.00,3,1,,,"19","26",,"1",,
"1H80.3527",3527,8.20,44.00,20.00,4,1,"4,7",,"18","26",,"1","Old DB",
"1H80.3528",3528,15.00,96.00,30.00,3,1,,,,,,,,
"1H80.3529",3529,15.00,73.00,25.00,3,1,"1,7",,,,,,"measured as double",
"1H80.3530",3530,5.00,47.00,20.00,3,1,"1,7",,,,,,,
"1H80.3531",3531,7.10,0.00,0.00,-1,5,,,,,,,"curled over and dead",
"1H80.3532",3532,10.00,42.00,35.00,4,1,"1,3,6",,,,,,,
"1H80.3533",3533,8.90,52.00,25.00,3,1,"1",,,,,,,
"1H80.3534",3534,7.90,52.00,20.00,4,1,"1,4,7",,,,,,,
"1H80.3535",3535,11.10,79.00,20.00,1,1,"4",,"22",,,,"frass",
"1H80.3536",3536,9.00,75.00,15.00,3,1,"1,3,6",,,,,,,
"1H80.3537",3537,5.90,29.00,15.00,1,1,"3",,,,,,,
"1H80.3538",3538,10.50,0.00,0.00,-1,5,,,,,,,"dead standing (5)",
"1H80.3539",3539,10.80,79.00,15.00,3,1,"1,4",,"22",,,,"frass",
"1H80.3540",3540,7.60,70.00,15.00,4,1,,,,,,,,
"1H80.3541",3541,7.60,68.00,10.00,4,1,,,,,,,,
"1H80.3542",3542,7.50,64.00,20.00,3,1,,,,,,,,
"1H80.3544",3544,6.30,60.00,10.00,3,1,,,,,,,,
"1H80.3545",3545,8.60,80.00,15.00,3,1,,,,,,,,
"1H80.3546",3546,14.20,76.00,25.00,3,1,,,,,,,,
"1H80.3547",3547,9.60,87.00,15.00,4,1,"4",,,,,,,
"1H80.3548",3548,14.70,74.00,15.00,4,1,"1,4",,,,,,,
"1H80.3549",3549,5.20,0.00,0.00,-1,5,,,,"26",,,"dead standing (5)",
"1H80.3550",3550,6.40,64.00,10.00,4,1,,,,,,,,
"1H80.3551",3551,12.70,86.00,20.00,3,1,,,,,,,,
"1H80.3552",3552,5.40,0.00,0.00,-1,5,,,,,,,"dead (5)",
"1H80.3553",3553,11.30,79.00,15.00,3,1,,,,,,,,
"1H80.3554",3554,10.60,81.00,15.00,4,1,,,,,,,,
"1H80.3555",3555,8.90,84.00,20.00,2,1,,,,,,,,
"1H80.3556",3556,7.90,72.00,15.00,4,1,,,,,,,,
"1H80.3557",3557,16.70,92.00,25.00,3,1,"4",,"18","26",,"1",,
"1H80.3558",3558,7.40,0.00,0.00,-1,5,"5",,,,,,"dead standing, curled over",
"1H80.3559",3559,8.70,78.00,15.00,3,1,,,,,,,,
"1H80.3560",3560,11.20,78.00,25.00,3,1,"4",,,,,,,
"1H80.3561",3561,9.00,80.00,15.00,4,1,,,,,,,,
"1H80.3563",3563,13.70,97.00,30.00,2,1,,,,,,,,
"1H80.3564",3564,15.70,94.00,25.00,2,1,,,"17","26",,"1",,
