"Plot_ID","TreeID","TreeTag","Species","H_Dist","Azimuth","DBH","StemMap_X_ft","StemMap_Y_ft","StemMap_X_m","StemMap_Y_m","X_UTMnad83","Y_UTMnad83"
"1H40","1H40.1901",1901.00,"SESE3",42.40,10.00,11.00,8.29,47.07,2.52,14.34,410017.30,4567479.39
"1H40","1H40.1902",1902.00,"SESE3",46.60,13.00,15.90,12.14,52.61,3.70,16.03,410018.14,4567480.59
"1H40","1H40.1905",1905.00,"SESE3",37.00,31.00,7.70,21.00,34.97,6.40,10.66,410021.44,4567472.65
"1H40","1H40.1906",1906.00,"PSMEM",42.30,38.00,18.90,31.44,40.27,9.58,12.27,410023.22,4567477.38
"1H40","1H40.1907",1907.00,"SESE3",25.50,47.00,12.80,22.77,21.25,6.94,6.47,410021.32,4567468.28
"1H40","1H40.1908",1908.00,"SESE3",46.50,52.00,6.50,39.22,30.67,11.95,9.35,410026.80,4567471.71
"1H40","1H40.1909",1909.00,"PSMEM",47.50,59.00,11.80,45.11,27.14,13.75,8.27,410027.93,4567475.12
"1H40","1H40.1911",1911.00,"PSMEM",17.20,84.00,12.80,22.77,2.41,6.94,0.73,410021.43,4567467.55
"1H40","1H40.1916",1916.00,"SESE3",34.90,100.00,12.00,39.29,-6.89,11.97,-2.10,410026.11,4567461.14
"1H40","1H40.3003",3003.00,"PSMEM",28.20,119.00,16.00,31.11,-17.20,9.48,-5.24,410024.17,4567463.08
"1H40","1H40.3006",3006.00,"PSMEM",42.00,141.00,13.60,30.34,-37.38,9.25,-11.39,410025.26,4567457.38
"1H40","1H40.3008",3008.00,"PSMEM",42.90,152.00,12.60,22.75,-42.65,6.93,-13.00,410023.51,4567455.60
"1H40","1H40.3012",3012.00,"PSMEM",37.50,172.00,8.30,5.83,-41.03,1.77,-12.50,410017.22,4567451.66
"1H40","1H40.3013",3013.00,"PSMEM",26.50,175.00,0.00,2.84,-31.97,0.86,-9.74,410017.76,4567458.56
"1H40","1H40.3014",3014.00,"PSMEM",23.50,178.00,0.00,0.93,-25.73,0.28,-7.84,410015.88,4567455.82
"1H40","1H40.3015",3015.00,"PSMEM",46.50,185.00,0.00,-4.21,-49.06,-1.28,-14.95,410016.41,4567452.33
"1H40","1H40.3016",3016.00,"PSMEM",47.50,187.00,12.20,-6.35,-52.46,-1.93,-15.99,410015.91,4567452.03
"1H40","1H40.3020",3020.00,"PSMEM",45.80,198.00,10.50,-15.42,-47.77,-4.70,-14.56,410013.27,4567452.88
"1H40","1H40.3025",3025.00,"PSMEM",49.80,226.00,11.10,-39.45,-38.25,-12.02,-11.65,410006.43,4567454.96
"1H40","1H40.3026",3026.00,"PSMEM",23.70,248.00,17.70,-29.45,-11.97,-8.97,-3.65,410009.88,4567463.17
"1H40","1H40.3027",3027.00,"PSMEM",48.00,260.00,16.50,-54.53,-9.74,-16.62,-2.97,410002.19,4567462.60
"1H40","1H40.3029",3029.00,"PSMEM",25.90,271.00,18.40,-34.04,0.51,-10.37,0.15,410008.42,4567465.89
"1H40","1H40.3030",3030.00,"SESE3",29.60,302.00,6.50,-27.43,17.04,-8.36,5.19,410007.98,4567467.76
"1H40","1H40.3031",3031.00,"PSMEM",13.10,316.00,15.10,-13.86,14.27,-4.22,4.35,410013.25,4567469.10
"1H40","1H40.3032",3032.00,"SESE3",28.40,326.00,19.70,-20.91,30.82,-6.37,9.39,410010.78,4567473.19
"1H40","1H40.3033",3033.00,"PISI",39.30,330.00,27.70,-25.77,44.35,-7.85,13.51,410009.33,4567476.26
"1H40","1H40.4746",4746.00,"SESE3",21.20,173.00,4.40,4.81,-18.83,,,,
"1H40","1H40.4747",4747.00,"SESE3",45.20,166.00,4.60,13.29,-41.54,,,,
