"ID","Plot_ID","PlotID RSS","TreeID","TagOrCut","TreeTag","Add_or_edit","Species","H_Dist","Azimuth","Sprout","Notes_0","Status_2018","General_Status"
1,"1H40","1C45","1H40.1901","1901","1901",,"SESE3",42.40,10.00,"N","BA_ac_ft2=(H2^2*0.005454154)*5",,
3,"1H40","1C45","1H40.1902","1902","1902",,"SESE3",46.60,13.00,"N","X",,
6,"1H40","1C45","1H40.1903C","1903","C",,"PSMEM",19.50,26.00,"N","X",,
7,"1H40","1C45","1H40.1904C","1904","C",,"SESE3",48.50,29.00,"Y","X",,
9,"1H40","1C45","1H40.1905","1905","1905",,"SESE3",37.00,31.00,"N","X",,
2919,"1H40","1C45","1H40.1906",,"1906",,"PSMEM",42.30,38.00,,"double tree",,
13,"1H40","1C45","1H40.1907","1907","1907",,"SESE3",25.50,47.00,"N","Tag Sequence Break",,
14,"1H40","1C45","1H40.1908","1908","1908",,"SESE3",46.50,52.00,"N","BROKEN TOP",,
16,"1H40","1C45","1H40.1909","1909","1909",,"PSMEM",47.50,59.00,"N","X",,
18,"1H40","1C45","1H40.1910C","1910","C",,"PSMEM",33.50,62.00,"N","X",,
20,"1H40","1C45","1H40.1911","1911","1911",,"PSMEM",17.20,84.00,"N","X",,
24,"1H40","1C45","1H40.1912C","1912","C",,"PSMEM",6.60,95.00,"N","X",,
23,"1H40","1C45","1H40.1913C","1913","C",,"PSMEM",42.60,94.00,"N","X",,
25,"1H40","1C45","1H40.1914C","1914","C",,"PSMEM",46.50,95.00,"N","X",,
26,"1H40","1C45","1H40.1915C","1915","C",,"PSMEM",26.90,95.00,"N","X",,
27,"1H40","1C45","1H40.1916","1916","1916",,"SESE3",34.90,100.00,"N","X",,
28,"1H40","1C45","1H40.1917C","1917","C",,"PSMEM",25.90,106.00,"N","X",,
30,"1H40","1C45","1H40.3001C","3001","C",,"PSMEM",12.30,114.00,"N","Tag Sequence Break",,
32,"1H40","1C45","1H40.3002C","3002","C",,"PSMEM",51.20,115.00,"N","X",,
34,"1H40","1C45","1H40.3003","3003","3003",,"PSMEM",28.20,119.00,"N","X",,
35,"1H40","1C45","1H40.3004C","3004","C",,"SESE3",26.90,134.00,"N","X",,
36,"1H40","1C45","1H40.3005C","3005","C",,"PSMEM",31.50,140.00,"N","X",,
37,"1H40","1C45","1H40.3006","3006","3006",,"PSMEM",42.00,141.00,"N","X",,
38,"1H40","1C45","1H40.3007C","3007","C",,"PSMEM",25.00,149.00,"N","X",,
40,"1H40","1C45","1H40.3008","3008","3008",,"PSMEM",42.90,152.00,"N","X",,
41,"1H40","1C45","1H40.3009C","3009","C",,"PSMEM",13.90,158.00,"N","X",,
44,"1H40","1C45","1H40.3010C","3010","C",,"PSMEM",10.00,160.00,"N","X",,
47,"1H40","1C45","1H40.3011C","3011","C",,"PSMEM",11.50,170.00,"N","X",,
48,"1H40","1C45","1H40.3012","3012","3012",,"PSMEM",37.50,172.00,"N","X",,
50,"1H40","1C45","1H40.3013","3013","3013",,"PSMEM",26.50,175.00,"N","X",,
51,"1H40","1C45","1H40.3014","3014","3014",,"PSMEM",23.50,178.00,"N","X",,
52,"1H40","1C45","1H40.3015","3015","3015",,"PSMEM",46.50,185.00,"N","X",,
53,"1H40","1C45","1H40.3016","3016","3016",,"PSMEM",47.50,187.00,"N","X",,
54,"1H40","1C45","1H40.3017C","3017","C",,"PSMEM",13.50,187.00,"N","X",,
55,"1H40","1C45","1H40.3018C","3018","C",,"PSMEM",22.00,188.00,"N","X",,
56,"1H40","1C45","1H40.3019C","3019","C",,"PSMEM",39.60,196.00,"N","X",,
58,"1H40","1C45","1H40.3020","3020","3020",,"PSMEM",45.80,198.00,"N","X",,
60,"1H40","1C45","1H40.3021C","3021","C",,"PSMEM",24.90,210.00,"N","X",,
